,corp_code,corp_name,stock_code
917,00152880,코오롱글로벌,3070
1550,01712485,코오롱모빌리티그룹,450140
1604,00525642,코오롱생명과학,102940
1622,00795135,코오롱인더,120110
2144,01245062,코오롱티슈진,950160
883,00170558,코웨이,21240
1478,00155948,코웰패션,33290
740,00360674,코위버,56360
2260,01211232,코윈테크,282880
806,00807397,코이즈,121850
1038,00959210,코츠테크놀로지,448710
2585,00446901,코칩,126730
2679,00187725,코콤,15710
781,00305297,코텍,52330
1747,01364297,코퍼스코리아,322780
2400,00203315,콘텐트리중앙,36420
1069,01032404,콜마비앤에이치,200130
2153,00203290,콜마홀딩스,24720
1936,00186559,콤텍시스템,31820
669,01311055,쿠콘,294570
132,00132354,쿠쿠홀딩스,192400
192,01267684,쿠쿠홈시스,284740
127,01311286,퀀타매트릭스,317690
1848,00501970,퀀타피아,78940
2233,01207761,퀀텀온,227100
1240,01584183,퀄리타스반도체,432720
1684,01205514,큐라켐,456190
395,01397772,큐라클,365270
2580,01357765,큐라티스,348080
1597,00548519,큐러블,86460
1050,00356802,큐렉소,60280
1753,01492651,큐로셀,372320
1591,00296324,큐로홀딩스,51780
730,01042650,큐리언트,115180
1638,01498974,큐리옥스바이오시스템즈,445680
234,00985686,큐브엔터,182360
1619,01033591,큐알티,405100
76,00411446,큐에스아이,66310
2268,00816696,큐엠씨,136660
399,00267942,큐캐피탈,16600
2187,01514005,크라우드웍스,355390
2503,01205329,크라운제과,264900
330,00153126,크라운해태홀딩스,5740
1032,00760971,크래프톤,259960
1132,00525882,크레버스,96240
2388,00346407,크레오에스지,40350
1507,01034730,크로넥스,215570
810,00522007,크리스에프앤씨,110790
5,01107665,크리스탈신소재,900250
783,00185222,크린앤사이언스,45520
322,00232821,클라우드에어,36170
229,01061327,클래시스,214150
2183,01201970,클리노믹스,352770
1025,00957735,클리오,237880
1012,00535375,키네마스터,139670
2078,00140131,키다리스튜디오,20120
2658,01616808,키움제6호스팩,413600
2659,01667592,키움제7호스팩,433530
2660,01693922,키움제8호스팩,446840
2654,00296290,키움증권,39490
1376,00353762,키이스트,54780
1548,01118139,타스컴,336040
1737,00617314,타이거일렉,219130
478,01309069,타이드,346010
953,01345724,타임기술,318660
497,01020269,탈로스,434190
1988,01360875,탑머티리얼,360070
1513,00874937,탑선,180060
569,00366845,탑엔지니어링,65130
2408,00608699,탑코미디어,134580
711,00122481,태경비케이,14580
1935,00153339,태경산업,15890
221,00109161,태경케미컬,6890
703,00153375,태광,23160
2684,00153393,태광산업,3240
36,00153524,태림포장,11280
1042,01366000,태성,323280
832,00186717,태양,53620
1111,00302236,태양3C,52960
484,00153755,태양금속공업,4100
1700,00442631,태양기계,116100
2398,00153861,태영건설,9410
1697,00186799,태웅,44490
1789,00562245,태웅로직스,124560
559,00154055,태원물산,1420
2138,00926522,테고사이언스,191420
1905,00373021,테라사이언스,73640
2566,00249894,테라젠이텍스,66700
69,00524421,테스,95610
160,00256955,테이팩스,55490
2579,01016886,테크엔,308700
1451,00370255,테크엘,64520
1612,00535676,테크윙,89030
542,01246742,테크트랜스,258050
925,00423177,텔레칩스,54450
598,00361488,텔코웨어,78000
2409,00608802,텔콘RF제약,200230
224,00816544,토니모리,214420
1949,01436479,토마토시스템,393210
1191,01064069,토박스코리아,215480
1236,00390365,토비스,51360
1434,00355089,토탈소프트,45340
1302,00531917,톱텍,108230
1408,00596260,투비소프트,79970
2312,00547510,툴젠,199800
1304,01134216,트루엔,417790
2042,01217014,트윔,290090
23,00186939,특수건설,26150
182,01309388,티라유텍,322180
46,00867098,티로보틱스,117730
1350,00204642,티비씨,33830
1417,00409672,티비에이치글로벌,84870
1270,00372688,티사이언티픽,57680
407,00609661,티쓰리,204610
423,00245472,티씨케이,64760
2141,01109937,티앤알바이오팹,246710
2290,00608440,티앤엘,340570
2013,00317487,티에스넥스젠,43220
993,01139035,티에스아이,277880
2060,00372226,티에스이,131290
115,00118965,티에이치엔,19180
930,01035368,티에프이,425420
1266,00814786,티엔엔터테인먼트,131100
1701,00920379,티엘비,356860
1809,00261887,티엘아이,62860
854,01583953,티엘엔지니어링,413300
570,01497869,티와이홀딩스,363280
1667,01335930,티움바이오,321550
1860,00671376,티웨이항공,91810
1880,00109514,티웨이홀딩스,4870
756,01301252,티이엠씨,425040
2346,01113754,티이엠씨씨엔에스,241790
1584,00426086,티케이지휴켐스,69260
1068,00693554,티케이케미칼,104480
2430,00497631,티플랙스,81150
1528,00578538,티피씨글로벌,130740
2426,00976615,틸론,217880
59,00438036,팅크웨어,84730
1158,01292291,파두,440110
2310,00171265,파라다이스,34230
1829,00105138,파라텍,33540
1456,01495180,파로스아이바이오,388870
877,00266934,파루,43200
688,00970453,파마리서치,214450
123,01066058,파마리서치바이오,217950
1892,00972293,파멥신,208340
2121,00145163,파미셀,5690
297,00429694,파버나인,177830
893,00238153,파세코,37070
1515,00638487,파수,150900
463,00231354,파워넷,37030
553,00269612,파워로직스,47310
1389,01190780,파워풀엑스,266870
458,01513440,파이버프로,368770
1001,00492353,파이오링크,170790
664,00350020,파인디앤씨,49120
825,00264732,파인디지털,38950
521,01686755,파인엠텍,441270
1245,00755739,파인테크닉스,106240
1634,00820352,파인텍,131760
2405,00384762,파커스,65690
81,00244747,파크시스템스,140860
1323,00490151,파트론,91700
959,00541862,판도라티비,202960
733,00231691,판타지오,32800
2500,00986898,팜스빌,318010
2486,00260408,팜스코,36580
2464,00192499,팜스토리,27710
2544,00135050,팜젠사이언스,4720
1921,01208821,팡스카이,266350
601,01101041,패션플랫폼,225590
1613,00339072,팬스타엔터프라이즈,54300
887,00397191,팬엔터테인먼트,68050
668,00122737,팬오션,28670
2257,00962922,팬젠,222110
1086,01146220,팸텍,271830
427,00148522,퍼스텍,10820
692,00161709,퍼시스,16800
2301,01152470,펄어비스,263750
700,00761059,펌텍코리아,251970
2279,00134723,페이퍼코리아,1020
2385,01336735,펨토바이오메드,327610
1496,00957373,펨트론,168360
2125,00415868,펩트론,87010
1783,00573579,평화산업,90080
1765,00155124,평화홀딩스,10770
2311,00392691,포니링크,64800
620,00188797,포메탈,119500
1497,01513699,포바이포,389140
1381,00862312,포스뱅크,105760
1192,00155212,포스코DX,22100
2195,00155258,포스코스틸리온,58430
1994,00128111,포스코엠텍,9520
2023,00124504,포스코인터내셔널,47050
2196,00155276,포스코퓨처엠,3670
1872,00939942,포시에스,189690
2316,00962393,포인트모바일,318020
1652,01179608,포인트엔지니어링,256630
744,01393721,포커스에이치엔에스,331380
1502,01806951,폰드그룹,472850
2116,00369213,폴라리스AI,39980
2082,00463342,폴라리스AI파마,41910
1605,00617998,폴라리스세원,234100
1280,00269852,폴라리스오피스,41020
888,00663669,폴라리스우노,114630
678,01259311,푸드나무,290720
1595,00165103,푸드웰,5670
941,00537832,푸른기술,94940
2020,00410739,푸른소나무,57880
361,00124805,푸른저축은행,7330
2484,00155355,풀무원,17810
285,00155373,풍강,93380
707,00155452,풍국주정,23900
517,00684714,풍산,103140
1770,00155531,풍산홀딩스,5810
136,00417167,풍원정밀,371950
1457,01357446,퓨런티어,370090
1471,01027828,퓨릿,445180
2031,00653103,퓨처코어,151910
1899,01185867,퓨쳐메디신,341170
1425,01053540,퓨쳐켐,220100
1387,00356389,프럼파스트,35200
1796,01258428,프레스티지바이오로직스,334970
169,01510489,프레스티지바이오파마,950210
113,01359736,프로이천,321260
1278,01156795,프로젠,296160
343,00325112,프로텍,53610
1277,01267958,프로티아,303360
2512,01217865,프롬바이오,377220
77,01137295,프리시젼바이오,335810
2025,00352064,프리엠스,53160
1363,01575839,플라즈맵,405000
1960,00297448,플래스크,41590
55,01454341,플래티어,367000
294,00490179,플랜티넷,75130
2028,01063237,플럼라인생명과학,222670
2270,00103130,플레이그램,9810
489,00862853,플레이디,237820
1810,00138367,플레이위드,23770
2341,00110750,플루토스,19570
1525,01237434,플리토,300080
462,00189538,피델릭스,32580
1125,00297934,피씨디렉트,51380
972,01051092,피씨엘,241820
2247,00525864,피앤씨테크,237750
2129,01419205,피앤에스미캐닉스,460940
751,01365825,피에스케이,319660
1715,00208444,피에스케이홀딩스,31980
704,00155638,피에스텍,2230
548,00155151,피에이치에이,43370
1044,01112889,피엔에이치테크,239890
2581,01290381,피엔케이피부임상연구센타,347740
1644,00612294,피엔티,137400
1688,01144569,피엔티엠에스,257370
1030,00654175,피엠티,147760
2255,00829380,피제이메탈,128660
1627,00155735,피제이전자,6140
1506,00604028,피코그램,376180
2296,01118281,피플바이오,304840
754,00403766,피피아이,62970
2094,00495086,픽셀플러스,87600
1565,01524507,핀텔,291810
1055,01488320,필에너지,378340
354,00938721,필옵틱스,161580
448,01405390,핌스,347770
956,01142075,핑거,163730
319,01584934,핑거스토리,417180
1163,01696275,하나26호스팩,446750
1384,01700374,하나27호스팩,448370
1047,01724338,하나28호스팩,454750
1026,01724417,하나29호스팩,454640
1067,01791321,하나30호스팩,469880
1472,01791561,하나31호스팩,469900
2101,01807738,하나32호스팩,475240
1953,01807729,하나33호스팩,475250
726,01593242,하나금융21호스팩,406760
166,01613281,하나금융22호스팩,418170
987,01658266,하나금융24호스팩,430230
363,01669475,하나금융25호스팩,435620
1546,00547583,하나금융지주,86790
51,00601191,하나기술,299030
473,00445054,하나마이크론,67310
2198,00660750,하나머티리얼즈,166090
1857,00248974,하나제약,293480
884,00269940,하나투어,39130
300,00857727,하림,136480
932,00148364,하림지주,3380
2440,01663569,하스,450330
1239,00527491,하이드로리튬,101670
799,01505186,하이딥,365590
2010,00977641,하이로닉,149980
1678,00165060,하이록코리아,13030
914,01204056,하이브,352820
2164,00825959,하이비젼시스템,126700
2432,00542898,하이소닉,106080
859,00435312,하이스틸,71090
1512,01705625,하이제8호스팩,450050
1907,00650771,하이젠알앤엠,160190
161,00688358,하이즈항공,221840
246,00409964,하이텍팜,106190
1962,00156150,하이트론씨스템즈,19490
415,00150244,하이트진로,80
519,00148993,하이트진로홀딩스,140
2154,00391197,하이퍼코퍼레이션,65650
615,00221728,하츠,66130
1368,00907013,한국ANKOR유전,152550
2376,00156442,한국가구,4590
658,00261285,한국가스공사,36460
2628,00263371,한국경제TV,39340
1286,00156691,한국공항,5430
871,00432102,한국금융지주,71050
106,00156956,한국기업평가,34950
736,00160205,한국내화,10040
453,00157070,한국단자공업,25540
2494,00579139,한국맥널티,222980
1084,00160418,한국무브넥스,10100
2442,01363924,한국미라클피플사,331660
995,01179617,한국비엔씨,256840
1944,01031229,한국비티비,219750
126,00157991,한국석유공업,4090
2675,00158015,한국선재,25550
977,00158112,한국수출포장공업,2200
786,00158149,한국쉘석유,2960
470,00158565,한국알콜,17890
638,00160047,한국앤컴퍼니,240
2570,00532855,한국유니온제약,80720
815,00404701,한국자산신탁,123890
2070,00159193,한국전력공사,15760
2226,00363769,한국전자금융,63570
2479,00361169,한국전자인증,41460
140,00159254,한국전자홀딩스,6200
514,00257732,한국정밀기계,101680
2697,00261957,한국정보공학,39740
1977,00306454,한국정보인증,53300
512,00159342,한국정보통신,25770
705,01672114,한국제11호스팩,436610
2200,01761296,한국제12호스팩,458610
1182,01775952,한국제13호스팩,464440
2331,01814312,한국제14호스팩,477530
1904,01818682,한국제15호스팩,479880
2278,00133706,한국제지,27970
276,00159500,한국종합기술,23350
564,00159564,한국주강,25890
2686,00159573,한국주철관공업,970
117,00687711,한국철강,104700
372,00159795,한국카본,17960
1702,00149594,한국캐피탈,23760
228,00303396,한국컴퓨터,54040
607,00939331,한국콜마,161890
371,00160010,한국큐빅,21650
2299,00937324,한국타이어앤테크놀로지,161390
2401,00355548,한국테크놀로지,53590
250,00233653,한국토지신탁,34830
2073,00124090,한국특강,7280
2560,00187770,한국파마,32300
1369,00960641,한국패러랠,168490
2680,00198192,한국팩키지,37230
1082,00765897,한국피아이엠,448900
1394,00309503,한국항공우주,47810
226,00823429,한국화장품,123690
384,00160621,한국화장품제조,3350
889,00204262,한글과컴퓨터,30520
583,00244783,한네트,52600
500,00160861,한농화성,11500
2556,00161046,한독,2390
623,01069736,한독크린텍,256150
772,00528515,한라IMS,92460
782,00413523,한미글로벌,53690
2171,00161383,한미반도체,42700
2068,00161426,한미사이언스,8930
2576,00828497,한미약품,128940
1260,00607496,한빛레이저,452190
1380,00348292,한빛소프트,47080
1563,00161693,한샘,9240
1324,00958451,한선엔지니어링,452280
639,00188089,한섬,20000
1716,00161860,한성기업,3680
2230,00389998,한성크린텍,66980
708,00728638,한세실업,105630
2224,00357360,한세엠케이,69640
848,00161976,한세예스24홀딩스,16450
84,00140946,한솔로지스틱스,9180
1926,00625942,한솔아이원스,114810
2644,00470829,한솔인티큐브,70590
2282,01060744,한솔제지,213500
942,00140955,한솔케미칼,14680
1504,00157399,한솔테크닉스,4710
2118,00103626,한솔피엔에스,10420
1976,00171636,한솔홀딩스,4150
352,00203582,한솔홈데코,25750
1615,01101722,한송네오텍,226440
2286,00349060,한스바이오메드,42520
2688,00162063,한신공영,4960
812,00162072,한신기계공업,11700
1253,01602638,한싹,430690
97,00488989,한양디지텍,78350
2192,00216762,한양이엔지,45100
943,00162416,한양증권,1750
1049,00161125,한온시스템,18880
2557,00162586,한올바이오파마,9420
2375,01359815,한울반도체,320000
1891,00560122,한울소재과학,91440
1474,00129509,한익스프레스,14130
876,00162832,한일단조,24740
2460,00162911,한일사료,5860
404,01319808,한일시멘트,300720
984,00163196,한일철강,2220
53,00164672,한일현대시멘트,6390
