,corp_code,corp_name,stock_code
163,00599151,SV인베스트먼트,289080
945,00117300,TCC스틸,2710
1040,00519252,THE E&M,89230
991,00201733,TJ미디어,32540
1763,00140061,TKG애강,22220
2117,00154329,TP,7980
102,00108649,TPC,48770
1342,00778235,TS인베스트먼트,246690
2040,01353024,TS트릴리온,317240
1884,00117230,TYM,2900
1322,00142865,WISCOM,24070
321,00307222,YBM넷,57030
929,00249247,YG PLUS,37270
2032,00200275,YTN,40300
552,00296263,YW,51390
2475,00370006,iMBC,52220
823,00506294,가비아,79940
1275,00441304,가온그룹,78890
1646,00104768,가온전선,500
504,01364747,가온칩스,399720
2351,01229240,가이아코퍼레이션,296520
853,00261009,감성코퍼레이션,36620
992,00100939,강남제비스코,860
2353,01032583,강동씨앤엘,198440
2140,01025644,강스템바이오텍,217730
1184,00255619,강원랜드,35250
2369,00100601,강원에너지,114190
544,00587457,갤럭시아머니트리,94480
20,00129554,갤럭시아에스엠,11420
383,00206039,경남스틸,39240
2039,00307028,경남제약,53950
1482,00101433,경농,2100
773,00101488,경동나비엔,9450
530,01208885,경동도시가스,267290
549,00143527,경동인베스트,12320
2526,00101549,경동제약,11040
223,00101628,경방,50
2120,00101664,경보제약,214390
1407,00102113,경인양행,12610
532,00102140,경인전자,9140
1967,00102353,경창산업,24910
2102,00102432,계룡건설산업,13580
2146,00102618,계양전기,12200
2302,00102751,고려산업,2140
288,00336297,고려신용정보,49720
2582,00102858,고려아연,10130
2662,00103006,고려제강,2240
2527,00103015,고려제약,14570
165,01399071,고바이오랩,348150
1750,01416235,고스트스튜디오,950190
357,00579999,고영,98460
1257,00249502,골드앤에스,35290
2417,01168143,골든센츄리,900280
1006,01067516,골프존,215000
1440,00674498,골프존뉴딘홀딩스,121440
1404,01307335,공구우먼,366030
345,00321204,관악산업,76340
402,00103592,광동제약,9290
2513,00523176,광동헬스바이오,86220
1791,00103635,광림,14200
2389,00103662,광명전기,17040
1928,00186452,광무,29480
1693,00152729,광전자,17900
243,00220561,광주신세계,37710
1250,00104120,광진실업,26910
752,01620713,교보12호스팩,421800
409,01677678,교보13호스팩,440790
1293,01760640,교보14호스팩,456490
1849,01781847,교보15호스팩,465320
817,00113359,교보증권,30610
2242,00453284,교촌에프앤비,339770
2211,00202060,구영테크,53270
976,00104388,국도화학,7690
606,00168331,국동,5320
2449,00104519,국보,1140
2627,00253985,국보디자인,66620
556,00256715,국순당,43650
582,00104537,국영지앤엠,6050
2682,00203847,국일신동,60480
1687,00104573,국일제지,78130
208,01329957,국전약품,307750
2528,00104722,국제약품,2720
190,00565215,굿센,243870
1846,00244561,그래디언트,35080
2273,01299203,그리드위즈,453450
315,00671978,그리티,204020
2213,01370863,그린리소스,402490
2133,00532059,그린생명과학,114450
653,00454946,그린케미칼,83420
1543,00602279,그린플러스,186230
42,00105156,극동유화,14530
2204,00783246,글로벌에스엠,900070
1466,01042711,글로벌텍스프리,204620
217,00159731,글로본,19660
590,00105299,금강공업,14280
218,00105475,금강철강,53260
146,00168401,금비,8870
1732,00106119,금양,1570
1838,00872656,금양그린파워,282720
1234,00106313,금호건설,2990
641,00106368,금호석유화학,11780
954,00105606,금호에이치티,214330
761,00106395,금호전기,1210
2298,00481454,금호타이어,73240
516,00176516,금화피에스시,36190
2404,00377018,기가레인,49080
1694,00765569,기가비스,420770
894,00258421,기산텔레콤,35460
2147,00106614,기신정기,92440
916,00106641,기아,270
2478,00149646,기업은행,24110
1360,00874797,길교이앤씨,456700
1261,00129420,까뮤이앤씨,13700
1243,01181807,까스텔바작,308100
2275,00113492,깨끗한나라,4540
1443,01586455,꿈비,407400
988,00994994,나노,187790
714,01136001,나노브릭,286750
732,00439965,나노신소재,121600
1698,00660459,나노씨엠에스,247660
536,00230425,나노엔텍,39860
1413,00542074,나노캠텍,91970
1601,01524118,나노팀,417010
254,01117422,나눔테크,244880
1195,01021639,나라셀라,405920
1157,01267550,나라소프트,288490
2149,00297095,나라엠앤디,51490
1665,00362122,나래나노텍,137080
2653,00819374,나무가,190510
1155,01136348,나무기술,242040
840,00486097,나스미디어,89600
1734,00651017,나우IB,293580
1419,00425254,나우코스,257990
2291,00767628,나이벡,138610
2201,00606293,나이스디앤비,130580
2077,00264945,나이스정보통신,36800
151,01208849,나인테크,267320
54,00107066,남광토건,1260
168,00107224,남선알미늄,8350
2165,00172185,남성,4270
2444,00107598,남양유업,3920
2625,00107987,남해화학,25860
179,00245694,남화산업,111710
1256,00108001,남화토건,91590
1465,00923792,내츄럴엔도텍,168330
982,00599106,네오리진,94860
275,01170865,네오셈,253590
2176,00876865,네오오토,212560
737,00628860,네오위즈,95660
272,00266952,네오위즈홀딩스,42420
2186,01511558,네오이뮨텍,950220
2514,01219155,네오크레마,311390
560,00447928,네오티스,85910
1054,00551920,네오팜,92730
696,01246034,네오펙트,290660
680,01325429,네온테크,306620
1877,00842585,네이블,153460
1569,00117276,네이처셀,7390
2217,00227333,네패스,33640
2263,01368354,네패스아크,330860
15,00167192,넥센,5720
2297,00173874,넥센타이어,2350
1738,00416414,넥스턴바이오,89140
1309,00614593,넥스트아이,137940
1592,01515864,넥스트칩,396270
1172,01080252,넥스틴,348210
1109,00220613,넥스틸,92790
1306,01096341,넥슨게임즈,225570
2308,01067808,넵튠,217270
2250,00904672,넷마블,251270
1641,01328170,노드메이슨,317860
791,00632845,노랑풍선,104620
269,00583442,노루페인트,90350
482,00113508,노루홀딩스,320
2498,00811372,노바렉스,194700
1854,01259232,노바텍,285490
2320,01332137,노보믹스,283100
1901,00305941,노브랜드,145170
348,01065785,노브메타파마,229500
1963,00536329,노블엠앤비,106520
431,01494118,노을,376930
2542,00129679,녹십자,6280
2289,00513948,녹십자엠에스,142280
2592,01135057,녹십자웰빙,234690
985,00108135,녹십자홀딩스,5250
2448,00108241,농심,4370
1781,00459871,농심홀딩스,72710
1566,00176835,농우바이오,54050
1145,00410997,누리플랜,69140
2699,00269889,누리플렉스,40160
1835,01394669,누보,332290
1725,01336461,뉴로메카,348340
2002,00351375,뉴보텍,60260
1551,00809429,뉴온,123840
1370,00105040,뉴인텍,12340
2084,00820389,뉴지랩파마,214870
