corporation,product,description,investment_round,total_investment,revenue,employee_num,keyword
큐리언트,,면역항암제 등 신약을 개발하는 기업,비공개,140.0억원 이상,90.3억원,33,"헬스케어/바이오바이오/의료, 암, 신약, B2B"
브이에스아이,VS77X,자율주행 차량 고속 네트워크 기술을 개발하는 기업,M&A,120.0억원 이상,2.1억원,9,"모빌리티/교통, 통신/보안/데이터자율주행, 통신/네트워크/5G, B2B"
앳,Ace,AI 프로젝트 매니저 서비스 ‘Ace’를 개발하는 기업,비공개,비공개,-,4,"AI/딥테크/블록체인협업툴/생산성, 프로그래밍개발, 인공지능"
칼만,프라임,"산업용 로봇 개발, 제조, 원격 작업 및 모니터링 서비스를 제공하는 기업",seed,25.0억원,5.3억원,17,"제조/하드웨어, AI/딥테크/블록체인로봇, 제조기술, 인공지능, 하드웨어, B2B"
씨더코퍼레이션,쉘파워뱅크,"IP 협업 기반 마이크로 인버터 기술 적용 파워뱅크, 자동차 점프스타터 등을 제조 및 유통하는 기업",비공개,비공개,7.7억원,4,"제조/하드웨어유통, 제조기술, B2B, 스타트업/창업자, 상품판매/브랜드/하드웨어"
파나나스튜디오,프로젝트 세일러,턴제RPG 게임 '프로젝트 세일러'를 개발하는 기업,비공개,50.0억원 이상,-,37,"게임RPG, 3D그래픽/CG, B2C, 상품판매/브랜드/하드웨어"
내방니방,내방니방,"중소형 주거용 부동산 관리 및 운영, 단기임대 플랫폼 '내방니방'을 운영하는 기업",pre-A,비공개,-,3,"광고/마케팅, 부동산/건설마케팅솔루션, 소비자조사, 부동산중개, 임대"
킹스트레이드,킹스트레이드,반려동물 용품 커머스 '킹스트레이드'를 운영하는 기업,비공개,3.0억원 이상,-,7,"커머스, 홈리빙/펫이커머스, B2C, 상품판매/브랜드/하드웨어"
팜조아,,"농식품, 냉동 밀키트 등을 제조 및 판매하는 기업",비공개,비공개,165.0억원,12,"커머스, 푸드/농업, 제조/하드웨어밀키트, 신선식품, 가공식품, 제조기술, 하드웨어"
디에스에이티,,고기능 탄소 복합 방열소재 및 전기전자 기기용 방열부품을 제조하는 기업,M&A,비공개,3.6억원,,"제조/하드웨어부품, 제조기술, 하드웨어, B2B"
