corporation,product,description,investment_round,total_investment,revenue,employee_num,keyword
노매드헐,노매드헐,여성 대상 여행 정보 및 커뮤니티 플랫폼 '노매드헐'을 운영하는 기업,seed,비공개,638.8만원,5,"소셜미디어/커뮤니티, 여행/레저커뮤니티, 숙박, 여행정보, B2C, 여성, 플랫폼/마켓플레이스"
와인그래프,와인그래프 (Winegraph),와인 검색 및 추천 플랫폼 '와인그래프'를 운영하는 기업,seed,4.0억원 이상,"8,806.5만원",2,"커머스, 소셜미디어/커뮤니티, 푸드/농업큐레이션, 리뷰, SNS, 와인, 비전센싱/영상인식/센서"
클래스카드,클래스카드,스마트 단어장 서비스 '클래스카드'를 운영하는 기업,seed,"4,000.0만원 이상",39.2억원,14,"콘텐츠/예술, 교육영상/비디오, 영어, 청소년교육, 비대면교육, B2B"
단추로끓인수프,고스트키친,데이터 기반 배달창업 및 공유주방 서비스 플랫폼 '고스트키친'을 운영하는 기업,series B,113.0억원 이상,29.2억원,1,"푸드/농업, 부동산/건설, 인사/비즈니스/법률배달, 공유주방, 프롭테크, 상권분석, 소상공인"
꽃팜,꽃팜기,온라인 기반 화훼 물류 플랫폼 '꽃팜'을 운영하는 기업,pre-A,15.0억원,-,10,"커머스, 물류, 푸드/농업이커머스, 도매, 배송, 꽃, B2B, 플랫폼/마켓플레이스"
네오엔터디엑스,,AI 기반 버추얼 인플루언서를 제작하는 기업,seed,2.5억원 이상,5.4억원,3,"콘텐츠/예술, AI/딥테크/블록체인영상/비디오, 사진, 인공지능, VR/AR, B2B, SaaS/엔터프라이즈"
딜리헙,딜리헙,웹툰/웹소설 플랫폼 '딜리헙'을 운영하는 기업,series A,16.0억원 이상,"8,092.0만원",7,"콘텐츠/예술출판, 웹툰/만화, B2C, 거래수수료, APP, WEB, 콘텐츠"
버터플라이임팩트,,공연 및 음원 발매 기반 소외계층 대상 후원 서비스를 제공하는 기업,seed,"5,000.0만원",17.6억원,8,"콘텐츠/예술음악, 공연, B2C, 투자수익, 콘텐츠, 교육/컨설팅/용역"
핀케치,핀케치,기관투자자 대상 트레이딩 솔루션 '핀케치'를 제공하는 기업,seed,비공개,6.6억원,7,"금융/보험/핀테크투자, 주식/증권, B2B, SaaS/엔터프라이즈, 소프트웨어"
캐스팅,캐스팅,인플루언서 및 팬 대상 소통 플랫폼 '캐스팅'을 운영하는 기업,seed,비공개,-,2,"콘텐츠/예술MCN/크리에이터, 커뮤니티, B2C, 플랫폼/마켓플레이스"
라메디텍,핸디레이,초소형 레이져 기술 기반 레이저 의료기기를 개발 및 판매하는 기업,비공개,20.0억원,29.2억원,54,"커머스, 헬스케어/바이오, 제조/하드웨어이커머스, 바이오/의료, 의료기기, 당뇨/고혈압/만성질환"
널스노트,널핏,간호사 용품 브랜드 '널핏' 및 간호사 업무관리 서비스 '널스노트'를 운영하는 기업,seed,1.0억원,7.4억원,7,"커머스, 헬스케어/바이오, 인사/비즈니스/법률이커머스, 바이오/의료, 간호, 신발, 인사솔루션, 협업툴/생산성"
이너보틀,,탄성 이너셀을 활용한 친환경 용기 솔루션을 제공하는 기업,series A,3.2억원 이상,10.3억원,5,"환경/에너지리사이클링/업사이클링, B2B, 상품판매/브랜드/하드웨어"
고산테크,잉크젯시스템,태양전지용 잉크젯 프린팅 기술을 개발하는 기업,series B,8.7억원 이상,18.1억원,22,"제조/하드웨어, 환경/에너지부품, 기계장비, 제조기술, B2B, 상품/하드웨어"
티랩스,티랩스,3D 기반 실내공간 지도제작 로봇을 개발하는 기업,series B,80.0억원 이상,21.0억원,27,"제조/하드웨어, 부동산/건설, AI/딥테크/블록체인로봇, 설계, 3D프린팅, 3D그래픽/CG, VR/AR, B2B"
요즈마비엠텍,,초음파 및 엑스레이 영상 진단기를 개발하는 기업,M&A,비공개,64.4억원,29,"헬스케어/바이오영상/비디오, 바이오/의료, 진단/검사, 의료기기"
마린이노베이션,마린이노베이션,해조류 부산물 기반 친환경 바이오플라스틱을 개발하는 기업,seed (추정),10.0억원 이상,3.0억원,8,"커머스, 푸드/농업, 환경/에너지이커머스, 건강기능식품, 디저트, 기타신재생에너지"
스탠바이랩,헬프미,법률서류 자동화 기술을 활용한 법률 서비스를 제공하는 기업,seed,비공개,-,11,"인사/비즈니스/법률전자계약, 법률"
슬로우스탠다드,라퍼지스토어,의류 브랜드 '라퍼지스토어'를 운영하는 기업,series A,비공개,421.3억원,38,"커머스, 패션, 제조/하드웨어이커머스, 의류, 패션잡화, 제조기술, B2C"
스마트올리브,올리브식권,모바일 식대 관리 솔루션 '올리브식권'을 운영하는 기업,비공개,10.0억원,11.3억원,11,"금융/보험/핀테크, 푸드/농업결제/페이먼트, 식당예약, B2B, B2C, 플랫폼/마켓플레이스"
임프레시보코리아,,지능형 행동 인식 인터페이스 솔루션 FAIV를 개발하는 기업,pre-A,비공개,2.5억원,4,"AI/딥테크/블록체인인공지능, 3D프린팅, 3D그래픽/CG, 비전센싱/영상인식/센서"
스티팝,스티팝,글로벌 이모티콘 플랫폼을 운영하는 기업,pre-A,16.0억원,8.2억원,5,"콘텐츠/예술이커머스, 기타예술, 플랫폼/마켓플레이스"
프레시코,아임얼라이브,콤부차 브랜드 '아임얼라이브'를 운영하는 기업,M&A,비공개,255.8억원,59,"커머스, 푸드/농업이커머스, 음료, B2C, 상품판매/브랜드/하드웨어"
제이케이인스퍼레이션,,"친환경 소비재 브랜드 '오드리선', '베어드' 등을 제조 및 유통하는 기업",비공개,80.0억원,42.6억원,6,"커머스, 홈리빙/펫, 환경/에너지이커머스, 유통, 생활용품/소품, B2C, 플랫폼/마켓플레이스"
올리브헬스케어,벨로,디지털 헬스케어 진단기기를 개발 및 판매하는 기업,series B,146.0억원 이상,3.8억원,37,"커머스, 헬스케어/바이오이커머스, 디지털헬스케어, 진단/검사"
리센스메디컬,,냉각마취기술을 활용한 초고속 무약품 마취기기를 생산하는 기업,series B,111.0억원 이상,54.9억원,52,"헬스케어/바이오바이오/의료, 의료기기, 제조기술"
에덴룩스,오투스,"AI 기반 눈 맞춤 근육운동 디바이스 'otus'를 제조, 판매하는 기업",series A,50.0억원 이상,27.8억원,26,"헬스케어/바이오, 제조/하드웨어, AI/딥테크/블록체인디지털헬스케어, 의료기기, 웨어러블, VR/AR"
로보트리,파로브,로봇 교육용 페이퍼토이 제조 및 로봇 3D 커스텀 플랫폼 '파로브' 등을 운영하는 기업,seed,비공개,1.5억원,3,"교육, 제조/하드웨어, AI/딥테크/블록체인취미교육, 초등교육, 유아교육, 로봇, 제조기술"
로제타텍,바나나와,스마트 화재재난 솔루션을 운영하는 기업,seed,"7,500.0만원 이상",93.6억원,37,"제조/하드웨어, 부동산/건설, AI/딥테크/블록체인IoT, 제조기술, 안전, 스마트시티, 프롭테크, 비전센싱/영상인식/센서"
오브젝티보,리카리카,프리미엄 펫 브랜드 '리카리카'를 운영하는 기업,seed,비공개,-,11,"커머스, 홈리빙/펫이커머스, 펫패션, B2C, 상품판매/브랜드/하드웨어"
소셜라디오컴퍼니,틴캔,오디오 기반 소셜 네트워킹 서비스 '틴캔'을 운영하는 기업,seed,10.0억원 이상,-,2,"소셜미디어/커뮤니티SNS, B2C, 플랫폼/마켓플레이스, APP, 콘텐츠"
플랜즈커피,,고품질의 음료 무인 자판기를 제조 및 공급하는 기업,seed,1.0억원 이상,8.0억원,8,"푸드/농업, 제조/하드웨어음료, 제조기술, B2B, 상품판매/브랜드/하드웨어"
원모먼트,원모먼트,꽃배달 서비스 '원모먼트'를 운영하는 기업,pre-A,9.0억원 이상,34.8억원,9,"커머스, 푸드/농업이커머스, 꽃, B2B, B2C, 상품판매/브랜드/하드웨어"
프레도,플레도 AI블록,"아동 학습교구 '플레도 AI블록', 스마트 저금통 '삐뽀'를 제조 및 판매하는 기업",비공개,비공개,11.0억원,8,"교육, 제조/하드웨어, AI/딥테크/블록체인이커머스, 유아교육, 제조기술, 생활용품/소품, 인공지능"
데이터블,해시업,"인플루언서 마케팅 서비스 ""해시업"" 및 라이프스타일 커머스 ""테이스티드"" 운영 기업",series A,39.2억원,20.7억원,4,"콘텐츠/예술, 광고/마케팅MCN/크리에이터, 마케팅솔루션, B2B, 상품판매/브랜드/하드웨어"
네오펙트,네오팩트,손 재활치료를 위한 웨어러블 기기 및 치료 솔루션을 제공하는 기업,비공개,356.0억원 이상,29.9억원,55,"헬스케어/바이오디지털헬스케어, 바이오/의료, 의료기기, 인공지능"
웨이비스,,GaN RF 반도체를 제조하는 기업,series A (추정),150.0억원,168.9억원,112,"제조/하드웨어반도체, 부품, 제조기술, B2B, 상품판매/브랜드/하드웨어"
와디즈파이낸스,,온라인 크라우드 펀딩 플랫폼 '와디즈'를 운영하는 기업,series C,475.0억원,1.5억원,2,"커머스, 금융/보험/핀테크이커머스, 크라우드펀딩, B2C, 플랫폼/마켓플레이스"
쓰리세컨즈,팀솔루션 드라이버 디스플레이,AI 기반 카레이싱 데이터 분석 서비스를 제공하는 기업,pre-A,비공개,-,4,"통신/보안/데이터, AI/딥테크/블록체인데이터, 클라우드, 프로그래밍개발, 인공지능"
캐시카우,오늘뭐샀니,영수증 인증 기반 포인트 리워드 서비스 플랫폼 '캐시카우'를 운영하는 기업,series A (추정),20.0억원,8.6억원,8,"광고/마케팅리워드, 마케팅솔루션, 소비자조사, B2B, B2C, 플랫폼/마켓플레이스"
다트쉐어링,다트,리얼타임 커뮤니케이션 기술 기반의 O2O 전동 킥보드 공유 서비스 기업,seed,비공개,39.9억원,4,"모빌리티/교통마이크로모빌리티, 렌탈/대여, O2O"
거북선컴퍼니,터틀체인,쇼핑몰 협업툴 솔루션 '터틀체인'을 제공하는 기업,seed,1.0억원,616.0억원,,"커머스, 인사/비즈니스/법률이커머스, 도매, 결제/페이먼트, 협업툴/생산성, 경리/경영관리"
데이터얼라이언스,스마트시티패스,마이데이터 기반 스마트시티 모빌리티 솔루션을 제공하는 기업,seed,비공개,20.1억원,22,"모빌리티/교통, 부동산/건설, AI/딥테크/블록체인교통솔루션, 스마트시티, 인공지능, 빅데이터, B2B"
솔루게이트,,AI기반 지능형 컨택센터 시스템을 개발하는 기업,비공개,28.0억원,18.8억원,19,"통신/보안/데이터프로그래밍개발, 인공지능, 자연어처리/텍스트마이닝"
아티프렌즈,사슬,블록체인 메인넷 구축 엔진 '사슬'을 제공하는 기업,pre-A,15.0억원,"6,308.4만원",5,"AI/딥테크/블록체인블록체인기술, NFT/NFT거래소, VR/AR"
보비씨엔이,수다캘럭시,탄산칼슘 기반 항산화 및 항노화 기능성 바이오 원료물을 개발하는 기업,비공개,비공개,5.3억원,2,"헬스케어/바이오, 환경/에너지바이오/의료, 건강기능식품, 제조기술, 수소에너지"
체인파트너스,데이빗,"블록체인 기반 가상자산 결제 및 거래소 등의 금융 서비스 플랫폼 '체인저', '데이빗' 등을 운영하는 기업",series A (추정),136.0억원 이상,4.4억원,17,"금융/보험/핀테크, AI/딥테크/블록체인자산관리, 거래소, 암호화폐, 코인거래소, 블록체인기술"
팟빵,팟빵,팟캐스트 오디오 콘텐츠 플랫폼 '팟빵'을 운영하는 기업,series B (추정),105.0억원,125.3억원,35,"콘텐츠/예술방송, 라디오, 출판, B2C, 플랫폼/마켓플레이스, APP"
꿈많은청년들,클라우드튜링,AI 기반 고객상담센터 및 미디어 컨텐츠를 제공하는 챗봇을 개발하는 기업,seed,"8,000.0만원",4.9억원,7,"통신/보안/데이터, AI/딥테크/블록체인인터넷기술, 모바일기술, 프로그래밍개발, 인공지능"
스노우,스노우,"얼굴인식 카메라 플랫폼 '스노우', '소다', '에픽' 등을 운영하는 기업",series D (추정),500.0억원,685.4억원,346,"콘텐츠/예술영상/비디오, 사진, VR/AR, B2C, 플랫폼/마켓플레이스"
티켓플레이스,유하,광고주 대상 인플루언서 및 유튜버 마케팅 제안 플랫폼 '유하(YOUHA)'를 운영하는 기업,seed,비공개,2.8억원,4,"광고/마케팅, AI/딥테크/블록체인마케팅솔루션, 인공지능, B2C, 구독, APP, WEB, 인플루언서"
엔키화이트햇,버그캠프,버그바운티 플랫폼 '버그캠프'를 운영하는 기업,비공개,비공개,55.8억원,,"통신/보안/데이터보안/암호화, B2B, 플랫폼/마켓플레이스, 교육/컨설팅/용역"
홈마스터,홈마스터,홈클리닝 서비스 '홈마스터'와 공유오피스 시설관리 서비스 '오피스마스터'를 운영하는 기업,pre-A,5.0억원,33.4억원,22,"홈리빙/펫, 인사/비즈니스/법률청소, 설거지, 분리수거, 가사노동, 아웃소싱, B2B"
비석세스,비석세스,국내 기업의 해외 진출 지원을 위한 미디어를 운영하는 기업,pre-A,비공개,8.2억원,9,"콘텐츠/예술미디어, 방송"
제로웹,제로웹,이동 데이터 기반 마케팅 솔루션을 제공하는 기업,series B (추정),66.0억원 이상,41.4억원,27,"광고/마케팅, 부동산/건설마케팅솔루션, 소비자조사, 바이럴마케팅"
엠로보,머니로보,로봇저널리즘 기반 투자정보 콘텐츠 서비스 '머니로보'를 운영하는 기업,비공개,비공개,"5,074.0만원",2,"콘텐츠/예술, 금융/보험/핀테크, AI/딥테크/블록체인미디어, 투자, 인공지능, 빅데이터, B2B, B2C, WEB"
니즈텔레콤,니즈모바일,알뜰폰 서비스 '니즈모바일'을 운영하는 기업,M&A,비공개,-,30,"커머스, 통신/보안/데이터이커머스, 데이터, 통신/네트워크/5G, 모바일기술"
잇츠한불,제로이드,"뷰티 브랜드 '잇츠스킨', '플라멜엠디' 및 '이네이처' 등을 운영하는 기업",IPO,1.8조원,379.6억원,83,"커머스, 뷰티/화장품이커머스, 스킨케어/클렌징, B2C, 상품판매/브랜드/하드웨어"
크리스피,노리큐브,O2O 메타버스 플랫폼 '노리큐브' 및 실감형 키즈카페 '노리디지털키즈카페' 등을 운영하는 기업,비공개,14.7억원,20.2억원,8,"콘텐츠/예술, AI/딥테크/블록체인, 유아/출산NFT/NFT거래소, 키즈카페, B2B, B2C, 플랫폼/마켓플레이스"
인코어드테크놀로지스,에너톡,AI/IoT 기반 융복합 계량기 '에너톡'의 개발 및 에너지 관련 솔루션을 제공하는 기업,series B,185.0억원,66.9억원,47,"제조/하드웨어, 환경/에너지, AI/딥테크/블록체인기계장비, IoT, 제조기술, 인공지능, B2B, B2C, SaaS/엔터프라이즈"
아이데카,,지구 자기장 기반 고정밀 실내측위 솔루션을 개발하는 기업,비공개,13.0억원,-,2,"기타인공지능, B2B, B2C, 상품판매/브랜드/하드웨어"
콘버스,어라운드 AROUND,AI 기반 목소리 소개팅 플랫폼 '인공지능 애나'와 소셜 네트워킹 플랫폼 '어라운드'를 운영하는 기업,series A (추정),20.0억원,8.6억원,7,"소셜미디어/커뮤니티, 모빌리티/교통, AI/딥테크/블록체인SNS, 커뮤니티, 메세지, 데이팅, 결혼, GIS/지리정보"
심플러,베이비타임,클라우드 기반 수유 및 육아 기록 플랫폼 '베이비타임'을 운영하는 기업,비공개,9.5억원 이상,-,2,"소셜미디어/커뮤니티, 유아/출산커뮤니티, 육아정보, 출산, B2C, 구독, APP, 콘텐츠"
큐비트시큐리티,플루라,해킹 대응 보안 솔루션을 제공하는 기업,비공개,비공개,12.4억원,20,"통신/보안/데이터보안/암호화, 클라우드, 프로그래밍개발, B2B, SaaS/엔터프라이즈"
덱스터스튜디오,덱스터스튜디오,시각효과(VFX) 콘텐츠를 기획 및 제작하는 기업,series C,60.0억원,358.1억원,327,"콘텐츠/예술, AI/딥테크/블록체인미디어, 영화, 영상/비디오, 3D그래픽/CG, VR/AR"
크레버스,크레버스,어학 전문 학원 '청담어학원' 및 메타버스 기반 교육 컨텐츠를 제공하는 기업,series D,214.0억원,"2,082.3억원",908,"교육영어, 외국어, VR/AR, B2C, 구독, 상품판매/브랜드/하드웨어"
케이디헬스케어,스포애니,피트니스 센터 프랜차이즈 브랜드 '스포애니' 및 피트니스 용품 커머스 '스포애니몰'을 운영하는 기업,-,-,885.8억원,65,"커머스, 헬스케어/바이오이커머스, PT/피트니스, 신선식품, 생활용품/소품, 창업"
위더스애드,,광고 대행 서비스를 제공하는 기업,-,-,99.0억원,47,"광고/마케팅마케팅솔루션, B2B, 광고, 교육/컨설팅/용역"
크로스빔,크로스팀,클라우드 기반 건설현장 협업툴 '크로스팀'을 운영하는 기업,-,-,"5,582.6만원",4,"부동산/건설, 인사/비즈니스/법률건축, 협업툴/생산성, B2B, SaaS/엔터프라이즈"
서드메이슨,피브,뷰티 브랜드 '피브'를 운영하는 기업,-,-,14.7억원,10,"커머스, 뷰티/화장품이커머스, 비건, 스킨케어/클렌징, 색조/메이크업"
게임베리스튜디오,헌터키우기,방치형 RPG 게임 '헌터키우기' 및 '다크클랜' 등을 운영하는 기업,-,-,105.8억원,28,"게임RPG, 캐주얼게임, 프로그래밍개발, B2C, APP"
매머드커피랩,매머드커피,카페 프랜차이즈 브랜드 '매머드커피'를 운영하는 기업,-,-,667.7억원,81,"푸드/농업음료, 디저트, 창업, B2B, B2C, 교육/컨설팅/용역, 오프라인매장"
커넥틀리,찜콩,유아동 쇼핑몰 플랫폼 '찜콩'을 운영하는 기업,-,-,2.2억원,2,"유아/출산유아동복, 유아용품, B2C, 플랫폼/마켓플레이스"
엔에이치알,커리어톡,소셜 리크루팅 서비스 '커리어톡' 및 입사 지원 관리 서비스 '커리어링크' 등을 운영하는 기업,-,-,495.2억원,140,"인사/비즈니스/법률마케팅솔루션, 구인구직/채용, 인사솔루션, B2B, 플랫폼/마켓플레이스"
인텔리콘연구소,유렉스,AI 기반 법률 솔루션을 제공하는 기업,-,-,1.1억원,17,"인사/비즈니스/법률, AI/딥테크/블록체인법률, 프로그래밍개발, 인공지능, B2B, SaaS/엔터프라이즈"
기어세컨드,슬레이어키우기,방치형 RPG 게임 '슬레이어키우기'를 운영하는 기업,-,-,40.5억원,30,"게임RPG, 캐주얼게임, B2C, APP"
크레오코리아,,푸드테크 기반 자율조리 시스템 주방 '에이트키친'을 제공하는 기업,-,-,22.1억원,9,"푸드/농업로봇, 하드웨어, 소프트웨어"
아파트아이,아파트아이,아파트 생활지원 플랫폼 '아파트아이'를 운영하는 기업,-,-,10.5억원,45,"금융/보험/핀테크, 부동산/건설결제/페이먼트, 프롭테크, B2C, 플랫폼/마켓플레이스"
컨플,비즈커넥트,"소상공인 매장관리 서비스 '비즈커넥트' 및 식자재 유통사 매칭, 결제 플랫폼 '오더하우'등을 운영하는 기업",-,-,"7,837.8만원",7,"커머스, 금융/보험/핀테크, 푸드/농업유통, 결제/페이먼트, 신선식품, 가공식품, 마케팅솔루션"
왕타,왕타,구강용품 브랜드 '왕타'를 운영하는 기업,-,-,78.3억원,15,"커머스, 홈리빙/펫이커머스, 제조기술, 생활용품/소품, B2C, 상품판매/브랜드/하드웨어"
이큐포올,,LLM(대규모언어모델) 기반 아바타 수어 번역 플랫폼을 제공하는 기업,-,-,5.5억원,21,"인사/비즈니스/법률통번역, B2B, 장애인, 플랫폼/마켓플레이스"
서울랩스,사슬,3세대 블록체인 솔루션 '사슬'을 제공하는 기업,-,-,-,21,"AI/딥테크/블록체인암호화폐, 블록체인기술, web3.0, B2B, 교육/컨설팅/용역"
티맥스티베로,Tibero7,데이터베이스 관리 시스템을 제공하는 기업,-,-,746.6억원,468,"통신/보안/데이터데이터, 통신/네트워크/5G, 클라우드, 프로그래밍개발"
인빅,,AI 영상 이미지 분석 안전 관제 솔루션을 제공하는 기업,-,-,10.3억원,15,"콘텐츠/예술, AI/딥테크/블록체인영상/비디오, 안전, 인공지능, B2B"
지피에프파트너스아이엔씨,코코스퀘어,반려견 복합문화공간 '코코스퀘어'를 운영하는 기업,-,-,40.2억원,56,"교육, 홈리빙/펫펫케어/펫테크, B2C, 상품판매/브랜드/하드웨어"
지엔디,위칙,소독용품 브랜드 '위칙'을 운영하는 기업,-,-,2.0억원,16,"커머스, 제조/하드웨어, 홈리빙/펫이커머스, 위생용품, 생활용품/소품, B2C, 상품판매/브랜드/하드웨어"
골팡,골팡,골프 부킹 및 투어 서비스 '골팡'을 운영하는 기업,-,-,124.1억원,17,"피트니스/스포츠골프, B2C, 플랫폼/마켓플레이스, APP, O2O"
제트언스,힘내라농가,농수산물 공구직거래 플랫폼 '힘내라농가' 및 이커머스 플랫폼 '여기싸다' 등을 운영하는 기업,-,-,84.7억원,17,"커머스, 푸드/농업이커머스, 신선식품, 농업, 생활용품/소품, B2C"
브랜드리팩터링,필리서치,마케팅 솔루션 및 건강기능식품 이커머스 '필리서치'를 운영하는 기업,-,-,192.8억원,21,"커머스, 헬스케어/바이오, 광고/마케팅이커머스, 건강기능식품, 마케팅솔루션, B2C, 상품판매/브랜드/하드웨어"
피에트,피에트,AI 운동수트 기반 건강관리 플랫폼 '피에트'를 운영하는 기업,-,-,-,35,"헬스케어/바이오, AI/딥테크/블록체인, 피트니스/스포츠디지털헬스케어, 스포츠/운동, 의류, 제조기술, 인공지능"
에이블디자인엔터테인먼트,글입다,디자인 문구 브랜드 '글입다'를 운영하는 기업,-,-,21.3억원,8,"커머스, 콘텐츠/예술, 홈리빙/펫이커머스, 디자인, 생활용품/소품, 문구, B2C"
트립일레븐,트립일레븐,숙박업 대상 통합 디지털전환 솔루션 및 숙박 예약 플랫폼 '트립일레븐'을 운영하는 기업,-,-,128.3억원,68,"여행/레저, 인사/비즈니스/법률, 통신/보안/데이터숙박, 경리/경영관리, 클라우드, 프로그래밍개발"
모스트,누텍스처,스킨케어 브랜드 '누텍스처'를 운영하는 기업,-,-,125.1억원,17,"커머스, 뷰티/화장품이커머스, 유통, 스킨케어/클렌징, B2B, B2C"
비제바노,탱글우드,"모바일 라이프 솔루션 브랜드 '탱글우드', 온라인 패션 플랫폼 ‘OCO’를 운영하는 기업",-,-,712.8억원,16,"커머스, 패션, 홈리빙/펫이커머스, 의류, 신발, 패션잡화, 쥬얼리, 생활용품/소품"
크래블,하이오비디,텔레매틱스 기반 단말 농기계 솔루션 '하이오비디'를 운영하는 기업,-,-,6.2억원,9,"푸드/농업, 모빌리티/교통진단/검사, 농업, 기계장비, 자율주행, B2B"
유니언플레이스,유니언워크,공유 공간을 기획 및 운영하는 기업,-,-,86.5억원,41,"모빌리티/교통, 부동산/건설코워킹, 코리빙, 건축, 프롭테크, B2B, 플랫폼/마켓플레이스"
유니포스트,UniWORKS,전자증빙 및 클라우드 솔루션을 제공하는 기업,-,-,110.6억원,103,"인사/비즈니스/법률, 통신/보안/데이터전자계약, 세무, 회계, 경리/경영관리, 문서작성, 클라우드"
애니챗,애니챗,실시간 AI 번역 채팅 기반 플랫폼 '애니챗'을 운영하는 기업,-,-,-,8,"소셜미디어/커뮤니티, AI/딥테크/블록체인커뮤니티, 메세지, 외국어, 통번역, 인공지능"
에이블테라퓨틱스,스픽,음성AI 기반 치매 선별검사 서비스 '스픽'을 제공하는 기업,-,-,1.6억원,13,"헬스케어/바이오, AI/딥테크/블록체인진단/검사, 인공지능, B2B, 비대면/무인시스템/Untact"
이피캠텍,LiBOB,"2차전지 및 UV코팅, 도료를 제조하는 기업",-,-,216.1억원,28,"제조/하드웨어배터리, 소재, 제조기술, B2B"
그린잇,골라가,골프장 예약플랫폼 '골라가'를 운영하는 기업,-,-,51.1억원,65,"피트니스/스포츠골프, ERP/그룹웨어, B2B, B2C, 플랫폼/마켓플레이스"
스페이스엘비스,,CG 및 VFX 기반 XR 콘텐츠를 개발하는 기업,-,-,46.1억원,15,"콘텐츠/예술, AI/딥테크/블록체인미디어, 전시, 3D그래픽/CG, VR/AR, B2B"
스펙업애드,위포트,취업 온라인 아카데미 '위포트' 및 '윈스펙' 등을 운영하는 기업,-,-,32.7억원,28,"헬스케어/바이오, 인사/비즈니스/법률성인실무교육, 개인화교육, 구인구직/채용"
에스프레스토,체크인,AI 기반 개인정보 및 기술 유출을 방지하고자 하는 고객 대상으로 카메라 탐지 등의 종합 솔루션을 운영하는 보안 기업,-,-,3.0억원,10,"통신/보안/데이터, AI/딥테크/블록체인이커머스, 프로그래밍개발, 인공지능"
탑테이블,Foodian 2.0,3D 푸드 프린팅 시스템을 개발하는 기업,-,-,4.5억원,11,"푸드/농업, 제조/하드웨어신선식품, 가공식품, 제조기술, 인공지능, 3D프린팅"
지앤넷,닥터구디,보험사 대상 병원의료정보 전송 서비스 '실손보험빠른청구' 및 PHR(개인건강기록) 기반 의료정보 전송 플랫폼 '닥터구디'를 운영하는 기업,-,-,16.6억원,27,"금융/보험/핀테크, AI/딥테크/블록체인보험/인슈어테크, 병원정보, 건강검진, 딥러닝/머신러닝"
사이넷,라이브스코어,스포츠 경기 대상 정보 제공 서비스 '라이브스코어'를 운영하는 기업,-,-,100.9억원,43,"콘텐츠/예술, 소셜미디어/커뮤니티미디어, 커뮤니티, 스포츠/운동, B2C, 플랫폼/마켓플레이스"
유엔젤,로밍도깨비,모바일 네트워크 및 미디어 솔루션을 제공하는 기업,-,-,360.6억원,218,"통신/보안/데이터데이터, 통신/네트워크/5G, 인터넷기술"
파인더스,보인다,블라인드 보험 커뮤니티 서비스 '보인다'를 운영하는 기업,-,-,6.0억원,19,"소셜미디어/커뮤니티, 금융/보험/핀테크커뮤니티, 자산관리, 송금, 보험/인슈어테크, 마이데이터"
에크멀,에크멀,화장품 브랜드 '에크멀'을 운영하는 기업,-,-,22.5억원,8,"커머스, 뷰티/화장품이커머스, 색조/메이크업, B2C, 상품판매/브랜드/하드웨어"
스마트사운드,스키퍼 R1,"무선 청진기 서비스 '스키퍼', 심장 소리 모니터링 서비스 '스키퍼헐트레이트' 및 펫 헬스케어 '위더펫'을 운영하는 기업",-,-,5.4억원,21,"헬스케어/바이오, 홈리빙/펫디지털헬스케어, 진단/검사, 펫케어/펫테크, B2C"
게임듀오,닌자대전,모바일 게임을 개발하는 기업,-,-,606.5억원,87,"게임RPG, 대전게임, 캐주얼게임, B2C, 광고, 거래수수료"
원더풀플랫폼,다솜,건강 취약 계층을 위한 AI 케어 솔루션 '다솜'을 운영하는 회사,-,-,35.2억원,25,"헬스케어/바이오, AI/딥테크/블록체인데이터, 인공지능, VR/AR, B2B, B2C, 플랫폼/마켓플레이스"
디쉐어,에이닷 영어학원,온오프라인 기반 지식공유 플랫폼을 개발하는 기업,-,-,570.2억원,161,"교육영어, 수학, 외국어, 청소년교육, 비대면교육, B2C"
스마트러닝코리아,EBS스마트리스닝_고교과정,EBS 콘텐츠 기반 학습용 스마트러닝 플랫폼 운영 및 중소형 학원 대상 운영관리 솔루션'동네학원'을 운영하는 기업,-,-,55.6억원,9,"교육, 인사/비즈니스/법률청소년교육, 비대면교육, CRM, 경리/경영관리, B2B"
예써,예써,맛집 줄서기 및 주문 예약 플랫폼 '예써'를 운영하는 기업,-,-,29.6억원,13,"커머스, 푸드/농업스마트오더, POS, 맛집정보/리뷰, B2B, B2C"
모꼬지,애니메이션제작,유아동 대상 애니메이션 컨텐츠를 제작하는 기업,-,-,58.8억원,15,"콘텐츠/예술, 유아/출산영상/비디오, 애니메이션, OTT, 유아교육, B2C, 광고"
앱솔브랩,셀리맥스,민감피부 스킨케어 브랜드 '셀리맥스'를 운영하는 기업,-,-,171.7억원,33,"커머스, 뷰티/화장품, 제조/하드웨어이커머스, 유통, 스킨케어/클렌징, 화학, 제조기술"
모노리스제주파크,9.81파크,제주 기반 무동력 레이싱 테마파크 '9.81 파크'를 운영하는 기업,-,-,144.6억원,118,"여행/레저여행정보, 레저/액티비티, B2C, 상품판매/브랜드/하드웨어"
꿈꾸는이웃,미스할인,"소셜커머스 플랫폼 '미스할인', '옐로우쇼핑' 등을 운영하는 기업",-,-,368.2억원,25,"커머스이커머스, 크라우드펀딩, B2C, 플랫폼/마켓플레이스"
